Age,Gender,Education,Income,Debt,Credit_Score,Loan_Amount,Loan_Term,Num_Credit_Cards,Payment_History,Employment_Status,Residence_Type,Marital_Status,Creditworthiness
61,Female,Bachelor,80811,6731,303,27491,24,9,Average,Self-Employed,Owned,Single,1
43,Male,Master,122471,18279,766,19529,24,7,Bad,Unemployed,Rented,Divorced,1
49,Male,Bachelor,73565,48558,558,44067,36,4,Average,Self-Employed,Rented,Married,1
23,Male,Bachelor,81314,47223,586,44225,36,7,Good,Employed,Owned,Divorced,1
49,Male,High School,139378,45223,330,41289,36,2,Bad,Self-Employed,Rented,Single,1
21,Male,Bachelor,73626,25416,820,43412,12,5,Average,Employed,Rented,Divorced,1
28,Female,Bachelor,98730,29000,423,22905,36,9,Average,Self-Employed,Owned,Divorced,1
34,Male,PhD,89767,13045,429,32078,36,2,Average,Unemployed,Owned,Single,0
55,Female,Bachelor,71929,37299,815,28473,60,3,Bad,Unemployed,Rented,Single,1
41,Female,Master,113804,11666,779,21802,36,5,Good,Unemployed,Owned,Divorced,1
22,Female,High School,86937,19245,841,27039,12,5,Good,Employed,Owned,Divorced,1
69,Male,High School,28086,33566,376,47397,60,8,Average,Employed,Rented,Married,1
51,Female,Bachelor,82582,28339,482,37673,12,7,Bad,Self-Employed,Mortgaged,Divorced,0
23,Male,Bachelor,119209,5852,665,38066,12,3,Bad,Unemployed,Mortgaged,Married,0
39,Female,Master,86065,17414,591,46940,60,5,Bad,Self-Employed,Mortgaged,Divorced,1
28,Male,PhD,60779,15281,688,28450,60,8,Average,Employed,Rented,Married,1
65,Female,High School,43462,49538,456,38060,60,5,Good,Unemployed,Mortgaged,Divorced,1
33,Male,PhD,67769,48155,399,4213,60,2,Bad,Self-Employed,Mortgaged,Single,1
50,Female,Master,122922,29031,409,28824,12,2,Good,Self-Employed,Rented,Single,1
26,Female,High School,138409,17626,569,42064,60,1,Bad,Self-Employed,Owned,Divorced,1
23,Female,Master,143266,24302,437,44810,24,6,Bad,Self-Employed,Rented,Divorced,1
33,Female,Bachelor,137309,46741,363,12488,36,1,Good,Employed,Owned,Divorced,1
46,Male,Master,75878,47691,806,27776,36,8,Bad,Employed,Owned,Single,1
20,Male,Bachelor,36956,31112,649,4916,24,1,Good,Self-Employed,Owned,Divorced,1
37,Male,PhD,102563,6511,446,12240,12,8,Bad,Employed,Mortgaged,Single,1
53,Female,High School,133212,39276,634,17187,12,6,Good,Unemployed,Rented,Divorced,1
36,Female,High School,105991,5668,831,30098,36,9,Average,Unemployed,Owned,Divorced,1
43,Female,PhD,142759,7087,706,32299,48,3,Bad,Self-Employed,Rented,Divorced,0
20,Female,Bachelor,125317,8015,643,23219,24,7,Bad,Unemployed,Rented,Single,1
36,Female,High School,127788,32419,820,6665,24,2,Good,Unemployed,Rented,Married,1
37,Female,Master,64555,40430,435,44338,36,5,Good,Self-Employed,Owned,Divorced,0
49,Male,Bachelor,65602,32314,338,49731,60,1,Good,Employed,Mortgaged,Single,1
24,Male,High School,25605,12614,619,14095,48,5,Good,Self-Employed,Owned,Divorced,1
69,Male,Master,96213,5003,586,8794,12,8,Average,Self-Employed,Rented,Single,1
58,Male,Master,140370,27235,762,15845,12,3,Bad,Employed,Mortgaged,Single,1
50,Male,High School,36938,34366,651,35718,12,6,Bad,Employed,Mortgaged,Married,1
57,Male,PhD,132355,33837,304,9647,12,4,Bad,Employed,Mortgaged,Divorced,1
56,Male,PhD,79502,9139,535,28736,24,8,Average,Unemployed,Rented,Divorced,1
35,Male,High School,72545,10585,535,46325,24,2,Good,Employed,Owned,Single,1
57,Female,Master,63534,4659,800,21798,60,5,Average,Unemployed,Rented,Divorced,1
18,Female,PhD,128720,27225,404,25815,24,6,Bad,Employed,Rented,Married,1
28,Female,PhD,35009,6634,506,38977,60,8,Bad,Self-Employed,Owned,Divorced,1
45,Female,PhD,50246,40590,538,42053,60,2,Good,Employed,Rented,Single,1
42,Female,Bachelor,48185,4682,351,47819,12,9,Good,Self-Employed,Rented,Single,1
67,Female,PhD,114831,36451,407,36817,12,7,Average,Self-Employed,Rented,Single,1
40,Female,High School,144868,5562,656,33830,24,4,Bad,Employed,Owned,Divorced,0
48,Male,High School,111055,5652,332,21894,24,2,Average,Unemployed,Owned,Single,0
47,Male,Bachelor,106488,46949,321,34967,60,8,Bad,Unemployed,Mortgaged,Single,1
59,Female,Bachelor,66642,22315,606,23278,36,2,Good,Unemployed,Owned,Divorced,1
52,Male,High School,29185,10502,310,42184,12,2,Good,Self-Employed,Owned,Divorced,1
24,Male,Bachelor,84366,5713,741,31081,48,9,Bad,Unemployed,Mortgaged,Single,1
33,Male,PhD,39843,6413,497,15510,36,4,Good,Self-Employed,Mortgaged,Single,1
43,Male,Master,37505,22984,828,18226,12,7,Bad,Employed,Rented,Single,1
65,Male,Master,140218,21487,343,6728,12,4,Good,Unemployed,Mortgaged,Single,0
69,Female,Master,48022,3075,484,31734,24,5,Good,Employed,Owned,Married,1
66,Male,High School,81609,34550,688,19166,48,1,Average,Employed,Mortgaged,Married,1
19,Female,Bachelor,74261,21190,806,32656,48,1,Good,Self-Employed,Owned,Single,0
18,Female,Master,36439,33263,741,874,12,3,Bad,Self-Employed,Rented,Divorced,1
65,Female,PhD,144636,43293,795,35590,60,6,Bad,Self-Employed,Rented,Divorced,0
29,Male,PhD,100196,12909,804,10086,48,1,Bad,Self-Employed,Mortgaged,Married,0
22,Female,PhD,94385,30212,436,30084,36,4,Average,Unemployed,Rented,Married,1
54,Female,Bachelor,115164,15962,578,28949,60,9,Bad,Self-Employed,Mortgaged,Married,0
49,Female,Master,110371,16853,463,26631,24,2,Average,Employed,Mortgaged,Divorced,1
26,Female,PhD,90272,35822,842,25999,12,2,Average,Unemployed,Rented,Married,1
58,Male,Bachelor,55377,15375,322,9532,12,2,Good,Unemployed,Rented,Divorced,1
52,Female,PhD,132979,45361,806,30589,36,7,Good,Unemployed,Owned,Divorced,0
36,Female,Master,23909,46964,809,15496,36,7,Average,Unemployed,Mortgaged,Married,0
65,Female,Master,135091,3109,743,37991,24,6,Bad,Self-Employed,Rented,Single,0
33,Female,Master,34867,2320,441,18935,24,2,Average,Unemployed,Rented,Single,1
20,Male,Master,84685,48482,580,15369,48,5,Good,Unemployed,Rented,Divorced,0
37,Female,Master,20794,16987,506,45370,60,6,Average,Unemployed,Owned,Divorced,0
41,Female,PhD,103481,38185,601,14513,12,6,Bad,Self-Employed,Owned,Married,0
50,Female,Master,78527,4699,696,2047,48,6,Average,Self-Employed,Rented,Single,1
41,Female,PhD,35369,47436,617,45438,24,6,Good,Unemployed,Rented,Married,1
69,Female,Master,129137,29209,347,35721,36,1,Average,Unemployed,Rented,Single,1
28,Female,PhD,43807,40330,689,42896,48,4,Bad,Employed,Rented,Divorced,1
66,Male,Master,30856,47415,678,2864,36,1,Bad,Unemployed,Mortgaged,Married,1
25,Female,PhD,26795,23547,516,15374,60,3,Good,Employed,Owned,Divorced,1
53,Male,Master,114921,23939,550,40866,36,2,Good,Employed,Owned,Married,1
